country,region,score,gdp,social_support,healthy_life_exp,freedom,generosity,corruption
Finland,WestEur,7.808700084686279,10.639266967773438,0.9543297290802002,71.90082550048828,0.9491721987724304,-0.059482019394636154,0.19544458389282227
Denmark,WestEur,7.645599842071533,10.774001121520996,0.9559907913208008,72.40250396728516,0.9514442682266235,0.06620177626609802,0.1684894561767578
Switzerland,WestEur,7.559899806976318,10.97993278503418,0.9428465962409973,74.102447509765625,0.9213366508483887,0.10591103881597519,0.3037284314632416
Iceland,WestEur,7.504499912261963,10.77255916595459,0.9746695756912231,73,0.9488918781280518,0.24694421887397766,0.71170973777771
Norway,WestEur,7.48799991607666,11.087803840637207,0.9524865746498108,73.2007827758789,0.9557502865791321,0.134532630443573,0.2632181942462921
Netherlands,WestEur,7.44890022277832,10.812711715698242,0.9391388297080994,72.30091857910156,0.9085478186607361,0.20761243999004364,0.36471712589263916
Sweden,WestEur,7.353499889373779,10.758793830871582,0.926311194896698,72.60076904296875,0.9391441941261292,0.11161462217569351,0.2508801817893982
Austria,WestEur,7.2941999435424805,10.742823600769043,0.9280458688735962,73.00250244140625,0.8999894857406616,0.08542922139167786,0.49995487928390503
Luxembourg,WestEur,7.237500190734863,11.45068073272705,0.9069122076034546,72.5999984741211,0.9056364297866821,-0.004620587918907404,0.3670842945575714
United Kingdom,WestEur,7.1645002365112305,10.60013484954834,0.9366828203201294,72.301605224609375,0.8347436785697937,0.26373249292373657,0.43591591715812683
Israel,MEasNAf,7.128600120544434,10.417525291442871,0.9135712385177612,73.20025634765625,0.7475805878639221,0.10259371995925903,0.7808550596237183
Ireland,WestEur,7.093699932098389,11.160978317260742,0.9420815706253052,72.30078887939453,0.8869829773902893,0.14578497409820557,0.35718417167663574
Germany,WestEur,7.075799942016602,10.732818603515625,0.8988744616508484,72.20201873779297,0.8673710823059082,0.08017938584089279,0.45642203092575073
Belgium,WestEur,6.863500118255615,10.673639297485352,0.9116325378417969,72.00164794921875,0.8135820627212524,-0.07869119942188263,0.6122979521751404
United Arab Emirates,MEasNAf,6.790800094604492,11.10999870300293,0.8491811156272888,67.0827865600586,0.9413455128669739,0.12345084547996521,0.5945022106170654
Malta,WestEur,6.772799968719482,10.533838272094727,0.9303795099258423,72.19999694824219,0.9249114394187927,0.2149658054113388,0.6585472822189331
France,WestEur,6.66379976272583,10.584222793579102,0.9371037483215332,73.80193328857422,0.8254676461219788,-0.13064196705818176,0.5835211277008057
Saudi Arabia,MEasNAf,6.406499862670898,10.797812461853027,0.8740670680999756,66.305145263671875,0.854191243648529,-0.16869506239891052,0.6826195120811462
Spain,WestEur,6.400899887084961,10.462926864624023,0.9211254119873047,74.4027099609375,0.7519895434379578,-0.05096171423792839,0.7658599019050598
Italy,WestEur,6.387400150299072,10.481836318969727,0.8898785710334778,73.6016845703125,0.6646519899368286,-0.04346099868416786,0.8734046816825867
Bahrain,MEasNAf,6.22730016708374,10.676380157470703,0.8763421177864075,68.5,0.9058557748794556,0.13372918963432312,0.7393471002578735
Cyprus,WestEur,6.158999919891357,10.405702590942383,0.8059962391853333,73.70222473144531,0.7798582911491394,0.04373149573802948,0.8562717437744141
Kuwait,MEasNAf,6.102099895477295,11.089824676513672,0.8464752435684204,66.76764678955078,0.8723664879798889,-0.10018470138311386,0.7608490586280823
Portugal,WestEur,5.910900115966797,10.263742446899414,0.8865907192230225,72.40202331542969,0.8887478113174438,-0.22071430087089539,0.8926295042037964
North Cyprus,WestEur,5.5355000495910645,10.405702590942383,0.8203566074371338,73.70222473144531,0.7952935099601746,2.2715852537658066e-4,0.6261156797409058
Greece,WestEur,5.514999866485596,10.132326126098633,0.8143803477287292,72.40525817871094,0.5413451194763184,-0.3009073734283447,0.8599314093589783
Libya,MEasNAf,5.488800048828125,9.789815902709961,0.8259429335594177,62.29999923706055,0.773157000541687,-0.08505448698997498,0.6687791347503662
Turkey,MEasNAf,5.131800174713135,10.129419326782227,0.8263135552406311,66.90281677246094,0.608830451965332,-0.1710464358329773,0.7481973767280579
Morocco,MEasNAf,5.094799995422363,8.940313339233398,0.59262847900390625,65.896240234375,0.772072434425354,-0.2403772473335266,0.8157246112823486
Algeria,MEasNAf,5.005099773406982,9.537964820861816,0.8033851385116577,65.9051742553711,0.4666109085083008,-0.12110516428947449,0.7354851365089417
Iraq,MEasNAf,4.784800052642822,9.66109561920166,0.7476949691772461,59.90354919433594,0.6331826448440552,-0.06956475973129272,0.8222618103027344
Lebanon,MEasNAf,4.771500110626221,9.361723899841309,0.8243381381034851,67.10658264160156,0.5513575077056885,-0.061215270310640335,0.9022562503814697
Iran,MEasNAf,4.672399997711182,9.813719749450684,0.6946896910667419,66.00614929199219,0.6478732824325562,0.1178911030292511,0.714635968208313
Jordan,MEasNAf,4.633399963378906,9.025999069213867,0.8021637201309204,66.79975128173828,0.7510477900505066,-0.1625652015209198,0.7003443241119385
Palestinian Territories,MEasNAf,4.552800178527832,8.389223098754883,0.8252959251403809,62.25,0.6457918286323547,-0.1620790958404541,0.8241999745368958
Tunisia,MEasNAf,4.392199993133545,9.314972877502441,0.6887185573577881,66.897857666015625,0.5933615565299988,-0.21641381084918976,0.8675902485847473
Egypt,MEasNAf,4.151400089263916,9.31654167175293,0.7354478240013123,61.7801513671875,0.7083541750907898,-0.1968783140182495,0.787726879119873
Yemen,MEasNAf,3.527400016784668,7.759682655334473,0.8179805874824524,56.7272834777832,0.5999202728271484,-0.1577354371547699,0.8002877235412598
